IDX,label
117,55
1076,49
903,61
1128,69
817,42
1197,73
352,53
271,46
1287,59
372,55
292,40
1306,27
1247,37
266,50
268,54
452,63
377,61
836,37
1016,20
210,21
916,62
972,39
1050,43
1159,55
1364,49
1172,20
939,69
1355,54
339,41
588,56
1470,26
1259,63
421,49
1487,37
468,44
580,46
143,41
1291,59
290,51
513,50
622,48
1137,26
1501,21
1014,20
4,46
1110,53
425,22
641,51
1539,20
1237,48
14,24
275,51
387,42
406,53
824,74
1550,52
602,44
1444,57
736,56
1248,20
556,44
773,19
102,19
1479,20
982,30
996,32
388,51
541,38
745,20
41,20
966,44
175,32
843,54
316,20
1146,53
199,20
37,65
788,21
309,31
1034,26
842,20
620,30
1098,63
141,21
1254,53
104,38
1187,55
1052,54
223,24
240,41
524,49
1171,62
922,20
1523,30
1425,44
1133,50
67,66
116,50
408,23
1478,42
1212,23
345,52
1534,20
1116,60
971,22
1175,57
1395,40
1331,27
1070,53
634,51
231,63
780,68
288,32
1039,35
195,19
419,59
1012,56
250,36
529,20
523,54
1271,29
255,48
70,73
557,20
1400,47
381,29
1310,18
1316,21
188,20
1413,48
312,60
300,22
666,43
140,19
820,71
1294,21
369,21
710,20
553,44
1547,40
330,63
470,20
698,49
851,55
301,50
596,62
1043,53
65,44
1387,48
1143,61
1382,22
285,65
1220,67
119,47
219,22
354,21
6,42
1505,21
179,24
1122,56
894,62
514,67
510,25
176,73
1380,27
1235,21
1144,70
472,65
774,60
845,57
1136,61
1025,27
1200,21
720,30
1441,33
1393,53
506,45
1123,54
1339,21
327,81
1262,48
380,64
691,64
746,59
216,63
1075,48
1326,43
822,54
885,67
22,57
874,60
289,20
359,23
615,53
600,39
567,21
482,20
893,55
389,25
325,22
960,55
124,22
1201,19
1359,22
951,20
584,20
1341,22
321,20
1087,22
969,57
208,23
465,45
1204,26
122,20
899,56
366,21
1188,47
621,50
441,20
130,44
1091,40
489,53
973,74
238,66
1358,49
1024,47
1010,19
1549,62
810,62
93,41
954,49
1363,58
280,20
74,55
518,25
1458,39
1044,52
1054,61
1081,44
447,69
222,45
981,45
403,56
1218,47
1313,52
1336,20
371,28
617,58
1405,21
926,20
341,43
1506,77
802,46
84,22
50,53
1147,43
994,48
217,45
87,45
1036,55
1265,41
491,20
54,62
1174,59
203,20
676,54
413,21
1093,43
742,66
1234,48
1195,52
1423,51
1191,21
985,32
81,50
819,19
1023,46
675,52
1496,22
995,20
415,24
152,50
412,23
806,21
356,62
1489,61
798,53
1390,20
807,56
326,64
1210,20
400,20
1239,48
95,30
507,34
308,29
942,65
220,63
671,20
392,53
597,50
1286,41
1281,27
303,52
318,19
1437,28
1089,20
107,50
1401,62
1266,57
1005,28
1529,37
873,54
378,58
19,50
722,20
62,60
1251,54
336,21
200,22
159,47
440,49
99,59
647,55
1135,48
1527,66
934,59
761,20
1537,55
672,61
444,50
983,19
800,20
559,62
170,21
1032,64
640,27
791,63
60,49
970,20
958,41
876,62
846,23
1120,56
684,34
1428,20
334,33
43,40
194,22
744,57
1311,48
1354,33
849,59
943,20
286,52
865,62
645,20
864,22
1445,51
1385,20
25,52
1508,57
935,35
576,37
1454,65
370,20
85,21
709,36
1285,72
1214,20
644,63
867,75
1334,57
1443,60
967,43
221,54
808,20
1417,22
26,61
1435,35
1078,40
652,48
1046,25
1351,23
768,20
1346,70
492,53
1430,51
1551,21
896,19
1257,39
1384,48
1006,50
277,26
975,52
365,54
993,20
594,22
854,56
789,41
244,54
563,21
471,56
1491,31
540,35
384,25
727,20
1495,49
855,25
986,21
136,20
786,20
1321,54
1475,59
1434,56
1394,22
1069,70
89,55
1517,20
1080,72
528,48
488,61
186,61
963,57
12,22
776,58
1461,50
434,64
1503,62
1315,54
417,59
1149,62
913,50
515,21
923,57
697,48
214,20
1139,59
1236,69
756,54
991,20
690,67
1162,20
1094,23
29,57
161,23
1543,22
33,28
828,35
1447,20
1181,44
1268,42
520,61
30,36
882,37
947,20
1208,38
534,60
5,58
1079,63
1241,49
1002,30
944,60
804,25
443,40
1338,20
