IDX,label
117,53
1076,49
903,50
1128,59
817,42
1197,69
352,51
271,39
1287,52
372,57
292,25
1306,19
1247,35
266,44
268,47
452,60
377,60
836,42
1016,16
210,18
916,62
972,40
1050,35
1159,50
1364,49
1172,15
939,59
1355,54
339,39
588,59
1470,18
1259,59
421,48
1487,22
468,39
580,38
143,46
1291,54
290,44
513,41
622,47
1137,25
1501,17
1014,16
4,33
1110,47
425,18
641,46
1539,18
1237,54
14,19
275,53
387,38
406,53
824,67
1550,50
602,42
1444,49
736,61
1248,15
556,44
773,16
102,17
1479,17
982,29
996,34
388,41
541,22
745,17
41,16
966,42
175,37
843,48
316,16
1146,49
199,16
37,52
788,17
309,40
1034,20
842,16
620,43
1098,57
141,19
1254,44
104,19
1187,29
1052,50
223,18
240,46
524,48
1171,52
922,17
1523,29
1425,50
1133,48
67,55
116,54
408,19
1478,42
1212,23
345,51
1534,18
1116,49
971,18
1175,51
1395,46
1331,36
1070,50
634,26
231,61
780,68
288,33
1039,34
195,16
419,52
1012,55
250,38
529,17
523,53
1271,23
255,47
70,70
557,16
1400,49
381,23
1310,14
1316,19
188,18
1413,29
312,59
300,17
666,39
140,17
820,69
1294,17
369,18
710,17
553,45
1547,39
330,67
470,16
698,51
851,46
301,47
596,48
1043,51
65,44
1387,46
1143,61
1382,17
285,53
1220,77
119,46
219,26
354,21
6,35
1505,21
179,17
1122,49
894,59
514,63
510,20
176,64
1380,25
1235,17
1144,59
472,56
774,50
845,53
1136,59
1025,23
1200,19
720,26
1441,34
1393,44
506,39
1123,54
1339,16
327,77
1262,49
380,63
691,52
746,57
216,57
1075,48
1326,42
822,49
885,62
22,55
874,54
289,15
359,23
615,49
600,37
567,18
482,17
893,55
389,22
325,17
960,49
124,15
1201,17
1359,17
951,18
584,18
1341,22
321,19
1087,19
969,51
208,20
465,32
1204,20
122,17
899,52
366,16
1188,38
621,47
441,16
130,41
1091,46
489,46
973,70
238,62
1358,42
1024,43
1010,15
1549,46
810,65
93,39
954,41
1363,55
280,17
74,47
518,20
1458,38
1044,36
1054,49
1081,23
447,61
222,41
981,41
403,49
1218,50
1313,40
1336,17
371,21
617,57
1405,16
926,16
341,45
1506,69
802,45
84,19
50,43
1147,41
994,46
217,39
87,49
1036,52
1265,42
491,18
54,57
1174,62
203,17
676,57
413,17
1093,48
742,59
1234,52
1195,48
1423,49
1191,20
985,32
81,41
819,17
1023,45
675,45
1496,20
995,17
415,20
152,49
412,17
806,17
356,61
1489,56
798,49
1390,20
807,52
326,60
1210,16
400,17
1239,47
95,25
507,26
308,24
942,58
220,42
671,18
392,52
597,43
1286,29
1281,27
303,48
318,17
1437,21
1089,17
107,46
1401,62
1266,48
1005,20
1529,34
873,49
378,56
19,48
722,19
62,46
1251,37
336,20
200,23
159,56
440,41
99,62
647,53
1135,49
1527,60
934,50
761,17
1537,61
672,56
444,50
983,16
800,16
559,66
170,17
1032,54
640,21
791,55
60,42
970,17
958,36
876,57
846,18
1120,46
684,26
1428,17
334,37
43,32
194,22
744,40
1311,50
1354,35
849,58
943,20
286,45
865,63
645,17
864,18
1445,47
1385,17
25,46
1508,58
935,26
576,41
1454,54
370,17
85,17
709,42
1285,66
1214,17
644,63
867,70
1334,56
1443,56
967,39
221,48
808,16
1417,18
26,57
1435,33
1078,39
652,47
1046,24
1351,19
768,16
1346,69
492,52
1430,53
1551,19
896,19
1257,35
1384,46
1006,44
277,28
975,41
365,59
993,17
594,17
854,51
789,36
244,58
563,17
471,58
1491,23
540,26
384,26
727,18
1495,47
855,25
986,18
136,17
786,17
1321,67
1475,47
1434,50
1394,36
1069,66
89,46
1517,17
1080,69
528,41
488,43
186,61
963,53
12,29
776,59
1461,38
434,66
1503,49
1315,49
417,54
1149,53
913,56
515,17
923,46
697,52
214,17
1139,47
1236,55
756,35
991,16
690,64
1162,18
1094,19
29,50
161,22
1543,18
33,24
828,20
1447,17
1181,46
1268,42
520,64
30,32
882,39
947,17
1208,46
534,28
5,48
1079,52
1241,48
1002,17
944,54
804,23
443,40
1338,17
